Sample_ID,Data_Type,Condition,Damage_Type,Vent_Holes,Fiber_Volume_Fraction,Void_Content,Fiber_Orientation_Degree,LBP_Feature_1,LBP_Feature_2,Texture_Contrast,Average_Temperature,Temperature_Variance,Defect_Density,Crack_Length_mm,Fracture_Toughness,Tensile_Strength,Structural_Integrity_Class
2142,C-scan (Pristine with Holes),Pristine,None,3,0.451,0.065,24.78,0.158,0.763,0.505,36.79,0.55,0.027,0.915,28.04,779.65,Low
2143,C-scan (Pristine with Holes),Pristine,None,4,0.535,0.06,3.81,0.574,0.576,0.777,118.16,8.79,0.018,0.334,31.69,572.11,Medium
2144,C-scan (Pristine with Holes),Pristine,None,2,0.494,0.079,57.34,0.279,0.483,0.73,49.18,3.63,0.027,0.643,47.68,515.57,High
2145,C-scan (BVID with Holes),Damaged,BVID,6,0.621,0.017,18.29,0.641,0.145,0.724,114.14,2.12,0.147,2.422,24.81,511.1,Low
2146,Thermograph,Mixed,None,6,0.55,0.077,87.61,0.446,0.368,0.406,70.09,7.13,0.118,2.146,46.48,568.6,Medium
2147,C-scan (BVID with Holes),Damaged,BVID,2,0.572,0.024,25.23,0.397,0.958,0.52,53.71,4.97,0.095,2.233,45.74,571.57,Medium
2148,Thermograph,Mixed,Thermal Anomaly,4,0.54,0.059,12.86,0.121,0.811,0.557,106.73,8.23,0.146,3.254,57.18,402.04,Medium
2149,C-scan (Pristine with Holes),Pristine,None,2,0.579,0.039,87.34,0.435,0.826,0.889,112.09,12.76,0.04,0.456,57.44,422.76,High
2150,C-scan (Pristine with Holes),Pristine,None,3,0.559,0.031,47.77,0.83,0.625,0.227,45.86,2.67,0.018,0.466,34.78,839.26,Medium
2151,Thermograph,Mixed,Thermal Anomaly,2,0.459,0.032,31.11,0.902,0.845,0.746,101.55,12.31,0.094,0.691,50.15,434.98,Medium
2152,C-scan (BVID with Holes),Damaged,BVID,3,0.544,0.036,28.46,0.767,0.256,0.846,102.52,8.16,0.083,3.439,45.29,656.02,Medium
2153,Thermograph,Mixed,None,3,0.687,0.021,89.33,0.832,0.391,0.391,88.58,8.25,0.137,3.124,43.89,618.61,Medium
2154,Thermograph,Mixed,Thermal Anomaly,3,0.51,0.03,27.2,0.386,0.52,0.528,111.46,14.17,0.088,2.881,35.17,770.34,Medium
2155,C-scan (Pristine with Holes),Pristine,None,2,0.465,0.042,28.04,0.758,0.12,0.464,102.12,5.5,0.048,0.623,34.38,398.66,Medium
2156,C-scan (BVID with Holes),Damaged,BVID,3,0.662,0.075,6.44,0.655,0.14,0.423,75.46,2.42,0.111,1.5,33.1,701.86,Medium
2157,C-scan (Pristine with Holes),Pristine,None,2,0.605,0.037,52.51,0.761,0.471,0.352,59.13,4.25,0.035,0.287,42.87,457.13,Medium
2158,C-scan (Pristine with Holes),Pristine,None,2,0.563,0.016,86.16,0.153,0.302,0.434,38.67,10.09,0.041,0.296,53.37,619.18,High
2159,C-scan (Pristine with Holes),Pristine,None,4,0.456,0.069,73.55,0.141,0.667,0.481,63.5,1.52,0.045,0.486,22.04,800.06,Low
2160,Thermograph,Mixed,Thermal Anomaly,3,0.496,0.012,81.25,0.321,0.809,0.436,92.15,7.4,0.142,2.679,43.76,444.16,Medium
2161,C-scan (BVID with Holes),Damaged,BVID,6,0.466,0.037,38.68,0.23,0.36,0.891,86.0,6.17,0.188,3.258,26.88,440.13,Low
2162,C-scan (BVID with Holes),Damaged,BVID,5,0.507,0.068,64.23,0.519,0.336,0.787,71.59,8.71,0.149,4.686,59.83,382.84,Medium
2163,Thermograph,Mixed,Thermal Anomaly,3,0.451,0.029,46.94,0.325,0.301,0.814,41.72,9.06,0.045,1.986,30.68,869.45,Medium
2164,Thermograph,Mixed,Thermal Anomaly,4,0.659,0.011,48.81,0.443,0.674,0.65,76.81,1.18,0.076,2.217,42.52,449.67,Medium
2165,C-scan (Pristine with Holes),Pristine,None,3,0.576,0.074,21.24,0.618,0.462,0.726,80.87,10.97,0.026,0.219,46.02,387.78,High
2166,C-scan (Pristine with Holes),Pristine,None,5,0.61,0.056,20.73,0.544,0.633,0.854,43.03,11.8,0.025,0.815,22.18,428.97,Low
2167,C-scan (BVID with Holes),Damaged,BVID,2,0.471,0.068,42.53,0.987,0.285,0.201,100.56,13.46,0.161,2.527,36.48,432.42,Medium
2168,C-scan (Pristine with Holes),Pristine,None,4,0.651,0.031,52.25,0.392,0.42,0.469,112.63,13.29,0.035,0.667,47.63,525.22,High
2169,C-scan (Pristine with Holes),Pristine,None,3,0.652,0.031,56.33,0.367,0.422,0.42,37.13,1.4,0.028,0.281,32.87,639.7,Medium
2170,C-scan (Pristine with Holes),Pristine,None,4,0.599,0.035,19.71,0.952,0.981,0.762,68.11,1.87,0.043,0.213,31.7,705.42,Medium
2171,C-scan (BVID with Holes),Damaged,BVID,6,0.513,0.038,78.11,0.196,0.623,0.238,35.05,7.29,0.143,4.848,54.38,644.54,Medium
2172,Thermograph,Mixed,Thermal Anomaly,6,0.571,0.029,57.45,0.883,0.163,0.351,36.79,8.22,0.086,3.245,31.48,411.75,Medium
2173,C-scan (BVID with Holes),Damaged,BVID,3,0.569,0.044,4.54,0.837,0.68,0.457,73.73,4.57,0.147,3.461,46.55,831.78,Medium
2174,C-scan (BVID with Holes),Damaged,BVID,6,0.667,0.011,71.63,0.968,0.474,0.867,86.41,13.36,0.184,3.633,51.33,520.79,Medium
2175,Thermograph,Mixed,None,3,0.497,0.055,51.72,0.658,0.605,0.744,116.92,10.96,0.149,1.086,50.87,783.81,Medium
2176,Thermograph,Mixed,None,3,0.499,0.052,32.83,0.826,0.808,0.489,40.04,8.65,0.05,3.176,59.06,363.79,High
2177,Thermograph,Mixed,Thermal Anomaly,5,0.459,0.043,52.0,0.624,0.644,0.86,105.95,10.88,0.15,0.82,33.5,656.72,Medium
2178,Thermograph,Mixed,None,4,0.612,0.045,44.94,0.648,0.205,0.561,85.67,4.08,0.036,1.134,38.18,764.02,Medium
2179,Thermograph,Mixed,Thermal Anomaly,3,0.682,0.038,71.11,0.114,0.822,0.344,102.63,13.75,0.108,1.809,24.46,599.12,Low
2180,C-scan (BVID with Holes),Damaged,BVID,3,0.474,0.059,16.48,0.869,0.147,0.758,65.38,8.98,0.115,2.915,25.8,609.78,Low
2181,Thermograph,Mixed,None,3,0.63,0.069,14.94,0.611,0.532,0.684,48.83,4.87,0.073,2.523,42.67,473.02,Medium
2182,Thermograph,Mixed,None,2,0.61,0.072,59.93,0.471,0.951,0.625,28.74,1.83,0.126,1.011,33.92,418.1,Medium
2183,Thermograph,Mixed,None,4,0.537,0.058,34.67,0.78,0.656,0.804,78.47,1.86,0.063,1.116,49.08,431.05,High
2184,C-scan (BVID with Holes),Damaged,BVID,3,0.647,0.019,61.58,0.369,0.239,0.576,90.53,14.53,0.198,1.325,55.03,473.86,Medium
2185,C-scan (Pristine with Holes),Pristine,None,6,0.637,0.065,12.58,0.371,0.581,0.89,57.08,9.05,0.037,0.552,56.43,561.57,High
2186,C-scan (Pristine with Holes),Pristine,None,2,0.593,0.024,72.22,0.606,0.433,0.496,61.78,12.22,0.049,0.778,23.55,773.34,Low
2187,C-scan (BVID with Holes),Damaged,BVID,4,0.49,0.04,59.46,0.13,0.122,0.323,79.91,3.92,0.13,4.187,44.98,354.71,Medium
2188,C-scan (Pristine with Holes),Pristine,None,2,0.496,0.03,22.08,0.506,0.232,0.358,39.03,11.79,0.017,0.657,24.62,712.81,Low
2189,C-scan (BVID with Holes),Damaged,BVID,3,0.636,0.065,47.78,0.241,0.861,0.653,59.05,12.08,0.123,3.027,39.06,821.05,Medium
2190,Thermograph,Mixed,Thermal Anomaly,6,0.496,0.051,79.58,0.618,0.575,0.42,114.96,7.41,0.091,0.821,57.23,799.58,Medium
2191,Thermograph,Mixed,Thermal Anomaly,3,0.463,0.037,78.35,0.752,0.529,0.282,44.6,12.15,0.131,3.276,49.73,781.54,Medium
2192,C-scan (BVID with Holes),Damaged,BVID,3,0.471,0.077,42.87,0.401,0.489,0.477,57.48,9.19,0.125,4.213,53.46,367.81,Medium
2193,C-scan (BVID with Holes),Damaged,BVID,4,0.661,0.024,18.37,0.733,0.251,0.887,55.58,7.02,0.107,3.012,46.81,692.73,Medium
2194,Thermograph,Mixed,None,6,0.495,0.035,62.64,0.929,0.803,0.879,90.18,4.28,0.082,2.078,28.12,660.33,Low
2195,Thermograph,Mixed,None,6,0.631,0.027,31.48,0.721,0.434,0.7,32.54,1.64,0.124,0.902,44.16,728.97,Medium
2196,C-scan (BVID with Holes),Damaged,BVID,5,0.466,0.039,83.65,0.624,0.194,0.886,44.61,1.44,0.174,1.94,22.47,741.35,Low
2197,Thermograph,Mixed,Thermal Anomaly,5,0.495,0.024,85.01,0.891,0.324,0.757,114.74,13.32,0.08,0.632,48.8,561.43,Medium
2198,Thermograph,Mixed,None,6,0.562,0.035,54.73,0.389,0.555,0.739,29.7,0.81,0.09,2.329,29.24,462.66,Low
2199,C-scan (BVID with Holes),Damaged,BVID,3,0.563,0.013,10.89,0.141,0.587,0.824,106.3,14.35,0.166,2.735,21.24,461.18,Low
2200,C-scan (Pristine with Holes),Pristine,None,4,0.509,0.077,12.72,0.841,0.921,0.641,96.41,11.33,0.015,0.902,29.17,847.58,Low
2201,Thermograph,Mixed,None,3,0.682,0.033,26.52,0.191,0.963,0.607,35.7,14.51,0.122,1.862,22.25,477.73,Low
2202,C-scan (BVID with Holes),Damaged,BVID,5,0.54,0.03,18.11,0.734,0.454,0.839,76.02,14.42,0.157,1.528,53.62,496.37,Medium
2203,Thermograph,Mixed,Thermal Anomaly,3,0.566,0.072,63.06,0.857,0.789,0.735,79.52,6.05,0.096,1.018,34.7,618.05,Medium
2204,C-scan (BVID with Holes),Damaged,BVID,6,0.451,0.013,76.57,0.393,0.29,0.884,37.3,13.63,0.138,4.575,49.58,800.9,Medium
2205,C-scan (BVID with Holes),Damaged,BVID,6,0.515,0.08,4.53,0.564,0.408,0.771,99.89,7.68,0.163,3.983,57.09,807.05,Medium
2206,Thermograph,Mixed,None,6,0.523,0.068,79.62,0.603,0.821,0.45,63.11,1.75,0.115,2.737,26.99,796.07,Low
2207,C-scan (BVID with Holes),Damaged,BVID,6,0.69,0.052,60.08,0.488,0.474,0.587,114.76,5.71,0.176,4.681,46.73,523.35,Medium
2208,C-scan (Pristine with Holes),Pristine,None,4,0.573,0.077,39.75,0.628,0.567,0.241,112.19,1.42,0.046,0.722,41.63,355.72,Medium
2209,Thermograph,Mixed,Thermal Anomaly,3,0.558,0.031,78.53,0.89,0.81,0.733,31.95,6.85,0.119,1.681,54.24,414.89,Medium
2210,C-scan (BVID with Holes),Damaged,BVID,5,0.607,0.025,9.62,0.176,0.8,0.86,97.46,6.77,0.179,1.713,41.05,706.89,Medium
2211,Thermograph,Mixed,None,3,0.611,0.072,1.23,0.525,0.494,0.471,85.4,1.77,0.068,2.15,28.93,383.86,Low
2212,Thermograph,Mixed,Thermal Anomaly,2,0.666,0.016,5.01,0.598,0.14,0.793,83.41,1.71,0.052,3.087,26.87,638.99,Low
2213,C-scan (Pristine with Holes),Pristine,None,2,0.648,0.063,6.29,0.136,0.33,0.741,88.88,7.36,0.04,0.81,36.61,741.07,Medium
2214,C-scan (Pristine with Holes),Pristine,None,4,0.659,0.037,34.32,0.841,0.208,0.877,98.17,9.18,0.045,0.205,49.06,697.26,High
2215,C-scan (Pristine with Holes),Pristine,None,3,0.628,0.076,32.98,0.168,0.311,0.509,79.66,0.63,0.031,0.409,47.4,382.37,High
2216,C-scan (BVID with Holes),Damaged,BVID,5,0.576,0.071,88.29,0.649,0.213,0.521,89.47,1.98,0.146,1.103,33.85,387.21,Medium
2217,C-scan (BVID with Holes),Damaged,BVID,4,0.618,0.04,37.58,0.955,0.952,0.335,116.07,5.11,0.167,2.395,37.66,417.86,Medium
2218,Thermograph,Mixed,None,4,0.527,0.058,68.73,0.688,0.345,0.494,92.05,13.16,0.092,2.11,23.8,608.49,Low
2219,Thermograph,Mixed,Thermal Anomaly,4,0.648,0.029,49.79,0.974,0.706,0.637,44.78,13.47,0.049,2.947,32.24,582.2,Medium
2220,C-scan (Pristine with Holes),Pristine,None,4,0.495,0.072,33.25,0.896,0.909,0.254,61.82,12.37,0.015,0.205,20.06,518.75,Low
2221,C-scan (BVID with Holes),Damaged,BVID,5,0.619,0.02,31.68,0.929,0.743,0.476,81.98,5.24,0.113,4.476,28.54,889.86,Low
2222,Thermograph,Mixed,Thermal Anomaly,6,0.647,0.024,26.64,0.501,0.753,0.345,107.25,2.22,0.114,2.549,55.75,782.65,Medium
2223,C-scan (BVID with Holes),Damaged,BVID,6,0.461,0.01,37.76,0.85,0.44,0.653,35.93,13.59,0.114,2.546,59.56,519.92,Medium
2224,C-scan (BVID with Holes),Damaged,BVID,4,0.605,0.03,63.57,0.757,0.764,0.386,82.72,12.76,0.11,2.056,37.13,765.79,Medium
2225,C-scan (BVID with Holes),Damaged,BVID,6,0.576,0.026,2.24,0.493,0.684,0.757,55.93,5.91,0.091,4.856,34.39,750.54,Medium
2226,C-scan (BVID with Holes),Damaged,BVID,6,0.608,0.068,35.12,0.39,0.901,0.892,36.64,5.46,0.099,4.344,22.72,545.61,Low
2227,C-scan (Pristine with Holes),Pristine,None,2,0.634,0.063,19.64,0.362,0.337,0.661,96.48,4.17,0.024,0.575,43.94,829.14,Medium
2228,C-scan (Pristine with Holes),Pristine,None,4,0.452,0.028,16.79,0.251,0.343,0.259,44.56,10.59,0.023,0.936,34.76,722.93,Medium
2229,C-scan (Pristine with Holes),Pristine,None,5,0.664,0.023,58.29,0.713,0.672,0.89,27.58,6.87,0.019,0.485,46.11,555.4,High
2230,C-scan (Pristine with Holes),Pristine,None,5,0.576,0.04,16.48,0.305,0.306,0.801,37.2,8.47,0.014,0.675,31.79,854.18,Medium
2231,Thermograph,Mixed,Thermal Anomaly,3,0.513,0.059,21.97,0.807,0.197,0.891,57.89,1.41,0.118,2.852,34.97,503.3,Medium
2232,C-scan (BVID with Holes),Damaged,BVID,4,0.594,0.051,2.5,0.648,0.654,0.632,43.1,4.06,0.18,4.57,35.62,698.51,Medium
2233,C-scan (Pristine with Holes),Pristine,None,4,0.665,0.054,71.13,0.226,0.254,0.324,88.18,0.56,0.043,0.706,49.34,880.79,High
2234,Thermograph,Mixed,None,3,0.532,0.035,8.4,0.427,0.419,0.404,74.36,10.99,0.118,3.472,27.62,589.88,Low
2235,C-scan (BVID with Holes),Damaged,BVID,5,0.651,0.032,86.65,0.833,0.457,0.394,43.84,13.76,0.179,1.547,50.65,356.86,Medium
2236,Thermograph,Mixed,None,4,0.486,0.066,20.11,0.182,0.557,0.353,25.43,1.74,0.072,2.19,45.78,642.45,High
2237,Thermograph,Mixed,None,2,0.616,0.028,40.51,0.844,0.816,0.742,94.21,9.57,0.14,0.65,27.69,827.07,Low
2238,Thermograph,Mixed,None,4,0.66,0.073,45.16,0.294,0.76,0.671,73.38,6.26,0.103,1.011,38.86,725.7,Medium
2239,C-scan (BVID with Holes),Damaged,BVID,3,0.546,0.01,3.22,0.188,0.482,0.515,112.51,5.85,0.166,2.648,56.68,665.01,Medium
2240,C-scan (BVID with Holes),Damaged,BVID,2,0.66,0.027,23.96,0.921,0.328,0.647,28.93,11.59,0.163,3.417,43.29,384.0,Medium
2241,Thermograph,Mixed,None,5,0.605,0.034,74.49,0.662,0.758,0.486,63.77,8.93,0.059,1.603,38.69,552.63,Medium
2242,C-scan (Pristine with Holes),Pristine,None,6,0.608,0.02,63.07,0.258,0.148,0.369,27.36,14.53,0.037,0.293,44.7,493.15,Medium
2243,C-scan (Pristine with Holes),Pristine,None,4,0.539,0.022,41.06,0.889,0.481,0.713,41.93,11.97,0.013,0.925,38.84,713.96,Medium
2244,Thermograph,Mixed,None,4,0.675,0.078,24.89,0.322,0.866,0.653,52.63,9.59,0.144,1.425,34.81,878.22,Medium
2245,Thermograph,Mixed,Thermal Anomaly,4,0.609,0.059,49.99,0.327,0.53,0.82,101.37,1.68,0.145,1.187,26.98,784.67,Low
2246,Thermograph,Mixed,Thermal Anomaly,4,0.502,0.078,82.35,0.917,0.202,0.819,107.34,9.26,0.069,2.846,48.06,698.71,High
2247,C-scan (BVID with Holes),Damaged,BVID,6,0.457,0.029,7.2,0.5,0.672,0.42,110.8,10.85,0.095,4.694,37.45,465.03,Medium
2248,C-scan (Pristine with Holes),Pristine,None,2,0.483,0.013,82.68,0.94,0.618,0.634,118.12,14.58,0.016,0.316,27.25,776.02,Low
2249,C-scan (Pristine with Holes),Pristine,None,2,0.653,0.049,45.23,0.4,0.473,0.626,49.35,9.88,0.039,0.941,27.55,562.86,Low
2250,Thermograph,Mixed,None,6,0.639,0.076,30.95,0.134,0.876,0.413,66.54,4.39,0.068,1.086,29.2,655.63,Low
2251,Thermograph,Mixed,Thermal Anomaly,5,0.561,0.079,9.92,0.179,0.842,0.413,73.32,3.83,0.079,1.555,20.98,353.45,Low
2252,C-scan (BVID with Holes),Damaged,BVID,3,0.536,0.046,43.6,0.942,0.357,0.393,79.28,11.78,0.099,2.256,31.25,508.85,Medium
2253,C-scan (Pristine with Holes),Pristine,None,3,0.561,0.04,75.88,0.634,0.121,0.319,58.59,12.92,0.016,0.885,59.47,782.71,High
2254,C-scan (BVID with Holes),Damaged,BVID,5,0.577,0.036,25.71,0.83,0.746,0.4,30.84,5.12,0.118,2.317,24.48,448.92,Low
2255,C-scan (BVID with Holes),Damaged,BVID,2,0.519,0.016,66.93,0.166,0.222,0.312,107.72,4.01,0.181,1.917,50.45,827.33,Medium
2256,C-scan (Pristine with Holes),Pristine,None,3,0.452,0.034,58.32,0.46,0.105,0.606,113.54,10.6,0.047,0.168,48.35,773.95,High
2257,C-scan (BVID with Holes),Damaged,BVID,5,0.468,0.057,18.71,0.248,0.455,0.748,68.42,10.3,0.103,2.899,52.56,874.0,Medium
2258,C-scan (Pristine with Holes),Pristine,None,2,0.657,0.046,69.13,0.202,0.119,0.688,62.43,5.04,0.038,0.458,45.62,891.83,High
2259,C-scan (BVID with Holes),Damaged,BVID,4,0.618,0.046,15.89,0.614,0.445,0.559,89.61,4.05,0.12,2.511,53.9,823.35,Medium
2260,C-scan (Pristine with Holes),Pristine,None,4,0.578,0.036,35.18,0.147,0.657,0.831,54.37,14.9,0.013,0.153,23.44,546.49,Low
2261,Thermograph,Mixed,None,2,0.559,0.026,4.86,0.988,0.908,0.229,92.03,8.59,0.075,2.264,43.9,534.76,Medium
2262,C-scan (Pristine with Holes),Pristine,None,4,0.607,0.049,35.82,0.213,0.672,0.441,74.25,9.37,0.048,0.419,41.52,670.56,Medium
2263,Thermograph,Mixed,None,6,0.549,0.041,24.57,0.881,0.763,0.336,112.33,13.91,0.092,3.231,37.45,438.23,Medium
2264,C-scan (BVID with Holes),Damaged,BVID,6,0.693,0.042,77.26,0.601,0.93,0.424,73.12,9.94,0.146,2.73,22.48,691.34,Low
2265,Thermograph,Mixed,Thermal Anomaly,6,0.559,0.053,87.41,0.529,0.99,0.669,97.81,1.14,0.08,2.697,48.95,412.29,Medium
2266,C-scan (Pristine with Holes),Pristine,None,4,0.551,0.037,81.29,0.728,0.333,0.895,53.03,7.17,0.011,0.223,38.0,633.35,Medium
2267,Thermograph,Mixed,Thermal Anomaly,6,0.612,0.023,11.17,0.671,0.184,0.364,96.03,0.82,0.125,2.021,30.88,726.46,Medium
2268,C-scan (Pristine with Holes),Pristine,None,6,0.469,0.023,44.47,0.153,0.395,0.756,118.89,7.76,0.011,0.446,56.74,892.2,High
2269,C-scan (BVID with Holes),Damaged,BVID,3,0.62,0.023,9.32,0.724,0.194,0.28,57.43,5.11,0.103,1.176,50.31,399.38,Medium
2270,Thermograph,Mixed,Thermal Anomaly,2,0.524,0.073,38.9,0.966,0.163,0.738,92.36,1.74,0.115,1.959,32.5,558.26,Medium
2271,C-scan (Pristine with Holes),Pristine,None,4,0.682,0.035,55.82,0.275,0.643,0.451,65.75,9.56,0.026,0.935,57.9,773.92,High
2272,C-scan (BVID with Holes),Damaged,BVID,2,0.633,0.03,4.77,0.336,0.603,0.605,85.17,8.69,0.153,2.091,27.99,677.37,Low
2273,Thermograph,Mixed,Thermal Anomaly,2,0.483,0.075,26.83,0.651,0.324,0.439,101.65,7.21,0.07,1.402,38.86,431.57,Medium
2274,C-scan (BVID with Holes),Damaged,BVID,6,0.551,0.028,84.7,0.553,0.547,0.837,41.15,10.23,0.132,2.743,33.47,780.89,Medium
2275,C-scan (Pristine with Holes),Pristine,None,4,0.472,0.071,83.81,0.521,0.12,0.718,81.68,1.58,0.043,0.694,55.95,414.92,High
2276,Thermograph,Mixed,Thermal Anomaly,6,0.493,0.036,6.91,0.481,0.859,0.431,116.24,7.25,0.075,1.417,26.66,605.04,Low
2277,C-scan (BVID with Holes),Damaged,BVID,3,0.459,0.068,72.92,0.456,0.997,0.724,67.67,13.48,0.168,4.033,37.16,815.83,Medium
2278,C-scan (BVID with Holes),Damaged,BVID,2,0.656,0.05,17.3,0.641,0.779,0.588,65.43,1.31,0.098,1.372,39.57,391.27,Medium
2279,Thermograph,Mixed,Thermal Anomaly,4,0.492,0.049,49.82,0.447,0.203,0.604,72.29,6.89,0.07,0.745,35.75,658.51,Medium
2280,C-scan (Pristine with Holes),Pristine,None,4,0.685,0.011,65.63,0.801,0.265,0.395,31.1,7.26,0.017,0.163,30.29,669.25,Medium
2281,C-scan (BVID with Holes),Damaged,BVID,5,0.684,0.019,24.47,0.358,0.509,0.825,77.48,14.22,0.128,4.851,26.2,694.63,Low
2282,C-scan (BVID with Holes),Damaged,BVID,2,0.477,0.047,22.83,0.191,0.871,0.68,62.77,11.36,0.129,4.583,56.26,537.7,Medium
2283,C-scan (Pristine with Holes),Pristine,None,5,0.667,0.053,19.42,0.497,0.145,0.772,90.49,3.38,0.046,0.225,53.12,581.36,High
2284,Thermograph,Mixed,Thermal Anomaly,5,0.642,0.033,57.06,0.36,0.783,0.319,47.32,7.9,0.035,2.735,51.8,734.92,High
2285,C-scan (BVID with Holes),Damaged,BVID,6,0.685,0.072,77.64,0.632,0.775,0.614,43.72,9.74,0.115,1.214,58.26,885.46,Medium
2286,C-scan (Pristine with Holes),Pristine,None,2,0.469,0.022,21.22,0.528,0.224,0.877,29.38,7.4,0.043,0.237,20.74,865.2,Low
2287,C-scan (BVID with Holes),Damaged,BVID,6,0.635,0.057,16.73,0.51,0.703,0.62,27.49,8.1,0.191,1.333,57.15,840.18,Medium
2288,C-scan (BVID with Holes),Damaged,BVID,5,0.562,0.05,16.38,0.494,0.97,0.611,91.78,12.14,0.198,2.658,28.22,844.07,Low
2289,C-scan (BVID with Holes),Damaged,BVID,2,0.632,0.032,72.18,0.552,0.596,0.446,34.2,2.93,0.12,2.004,27.9,420.87,Low
2290,C-scan (BVID with Holes),Damaged,BVID,4,0.666,0.017,25.41,0.949,0.156,0.505,111.75,10.83,0.19,4.916,38.34,791.44,Medium
2291,C-scan (BVID with Holes),Damaged,BVID,3,0.504,0.02,17.69,0.578,0.52,0.639,97.68,4.62,0.167,3.988,45.6,861.62,Medium
2292,Thermograph,Mixed,None,6,0.465,0.035,35.09,0.905,0.406,0.33,75.13,7.73,0.108,3.463,43.49,561.19,Medium
2293,C-scan (Pristine with Holes),Pristine,None,6,0.465,0.018,65.56,0.598,0.158,0.682,89.81,11.51,0.041,0.716,23.57,454.86,Low
2294,C-scan (Pristine with Holes),Pristine,None,3,0.455,0.048,79.1,0.951,0.979,0.361,36.05,7.12,0.037,0.617,29.86,352.59,Low
2295,C-scan (Pristine with Holes),Pristine,None,6,0.451,0.058,16.1,0.801,0.484,0.715,36.89,10.44,0.039,0.192,23.07,556.2,Low
2296,C-scan (BVID with Holes),Damaged,BVID,4,0.621,0.025,35.19,0.515,0.108,0.511,51.36,10.37,0.133,4.999,52.19,576.54,Medium
2297,C-scan (BVID with Holes),Damaged,BVID,2,0.65,0.062,73.3,0.283,0.676,0.588,81.53,10.29,0.169,2.139,31.39,419.89,Medium
2298,Thermograph,Mixed,None,2,0.618,0.03,67.59,0.669,0.826,0.309,87.61,14.12,0.126,1.064,34.11,656.35,Medium
2299,C-scan (Pristine with Holes),Pristine,None,5,0.555,0.049,56.79,0.298,0.29,0.348,99.62,13.03,0.017,0.822,56.79,568.38,High
2300,Thermograph,Mixed,Thermal Anomaly,3,0.672,0.035,22.79,0.789,0.787,0.834,108.71,3.05,0.103,1.315,39.47,403.19,Medium
2301,C-scan (BVID with Holes),Damaged,BVID,2,0.653,0.026,83.07,0.458,0.554,0.413,112.04,8.51,0.197,2.606,47.06,863.25,Medium
2302,Thermograph,Mixed,None,3,0.45,0.045,88.09,0.644,0.363,0.507,70.87,3.9,0.035,0.946,43.29,605.31,Medium
2303,C-scan (BVID with Holes),Damaged,BVID,6,0.472,0.054,47.49,0.884,0.542,0.69,43.85,7.75,0.108,1.562,35.69,466.51,Medium
2304,C-scan (Pristine with Holes),Pristine,None,5,0.66,0.078,59.98,0.108,0.195,0.624,103.26,6.39,0.04,0.117,48.13,893.84,High
2305,C-scan (BVID with Holes),Damaged,BVID,2,0.63,0.011,69.47,0.199,0.797,0.705,90.98,9.82,0.143,2.219,44.24,480.25,Medium
2306,Thermograph,Mixed,None,4,0.596,0.013,26.39,0.142,0.589,0.731,32.95,12.19,0.121,3.412,51.69,376.02,Medium
2307,C-scan (BVID with Holes),Damaged,BVID,6,0.589,0.045,86.14,0.588,0.438,0.831,92.07,1.19,0.177,1.511,24.54,490.56,Low
2308,C-scan (Pristine with Holes),Pristine,None,6,0.497,0.04,63.33,0.458,0.674,0.292,101.35,9.93,0.05,0.359,32.44,751.91,Medium
2309,C-scan (BVID with Holes),Damaged,BVID,2,0.658,0.031,26.14,0.746,0.114,0.89,100.53,4.91,0.081,3.745,50.15,413.15,Medium
2310,Thermograph,Mixed,None,2,0.679,0.068,87.9,0.905,0.164,0.881,103.06,6.76,0.079,2.901,29.57,855.93,Low
2311,C-scan (Pristine with Holes),Pristine,None,3,0.646,0.017,13.4,0.658,0.945,0.359,49.5,2.95,0.047,0.745,33.05,468.62,Medium
2312,C-scan (Pristine with Holes),Pristine,None,4,0.538,0.02,59.32,0.717,0.566,0.677,64.23,13.72,0.036,0.68,35.24,853.31,Medium
2313,C-scan (BVID with Holes),Damaged,BVID,2,0.689,0.033,38.14,0.63,0.555,0.542,62.31,7.34,0.157,2.64,35.33,623.92,Medium
2314,Thermograph,Mixed,None,2,0.647,0.015,81.51,0.255,0.396,0.584,68.54,9.95,0.046,2.798,59.82,500.76,High
2315,C-scan (BVID with Holes),Damaged,BVID,5,0.509,0.034,5.63,0.281,0.432,0.737,68.55,2.63,0.146,3.073,44.32,377.26,Medium
2316,Thermograph,Mixed,Thermal Anomaly,6,0.522,0.018,13.05,0.49,0.301,0.557,90.9,14.65,0.069,1.463,33.65,429.31,Medium
2317,C-scan (BVID with Holes),Damaged,BVID,3,0.528,0.057,54.19,0.482,0.247,0.667,36.55,11.89,0.134,4.334,43.88,403.36,Medium
2318,C-scan (Pristine with Holes),Pristine,None,6,0.688,0.034,14.99,0.298,0.263,0.671,48.73,3.38,0.018,0.361,35.13,466.56,Medium
2319,Thermograph,Mixed,None,4,0.511,0.052,82.97,0.66,0.442,0.645,28.7,5.26,0.114,3.061,43.64,751.86,Medium
2320,C-scan (BVID with Holes),Damaged,BVID,6,0.585,0.021,79.94,0.163,0.949,0.739,29.63,8.66,0.176,4.93,29.57,492.38,Low
2321,C-scan (BVID with Holes),Damaged,BVID,5,0.613,0.01,41.57,0.583,0.953,0.627,63.24,6.4,0.183,1.048,52.69,495.34,Medium
